Locus,Total_Depth,Average_Depth_sample,Depth_for_NA05162
X:31137344,0,0.00,0
X:31137345,0,0.00,0
X:31137346,0,0.00,0
X:31137347,0,0.00,0
X:31137348,0,0.00,0
X:31137349,0,0.00,0
X:31137350,0,0.00,0
X:31137351,0,0.00,0
X:31137352,0,0.00,0
X:31137353,0,0.00,0
X:31137354,0,0.00,0
X:31137355,0,0.00,0
X:31137356,0,0.00,0
X:31137357,0,0.00,0
X:31137358,0,0.00,0
X:31137359,0,0.00,0
X:31137360,0,0.00,0
X:31137361,0,0.00,0
X:31137362,0,0.00,0
X:31137363,0,0.00,0
X:31137364,0,0.00,0
X:31137365,0,0.00,0
X:31137366,0,0.00,0
X:31137367,0,0.00,0
X:31137368,0,0.00,0
X:31137369,0,0.00,0
X:31137370,0,0.00,0
X:31137371,0,0.00,0
X:31137372,0,0.00,0
X:31137373,0,0.00,0
X:31137374,0,0.00,0
X:31137375,0,0.00,0
X:31137376,0,0.00,0
X:31137377,0,0.00,0
X:31137378,0,0.00,0
X:31137379,0,0.00,0
X:31137380,0,0.00,0
X:31137381,0,0.00,0
X:31137382,0,0.00,0
X:31137383,0,0.00,0
X:31137384,0,0.00,0
X:31137385,0,0.00,0
X:31137386,0,0.00,0
X:31137387,0,0.00,0
X:31137388,0,0.00,0
X:31137389,0,0.00,0
X:31137390,0,0.00,0
X:31137391,0,0.00,0
X:31137392,0,0.00,0
X:31137393,0,0.00,0
X:31137394,0,0.00,0
X:31137395,0,0.00,0
X:31137396,0,0.00,0
X:31137397,0,0.00,0
X:31137398,0,0.00,0
X:31137399,0,0.00,0
X:31137400,0,0.00,0
X:31137401,0,0.00,0
X:31137402,0,0.00,0
X:31137403,0,0.00,0
X:31137404,0,0.00,0
X:31137405,0,0.00,0
X:31137406,0,0.00,0
X:31137407,0,0.00,0
X:31137408,0,0.00,0
X:31137409,0,0.00,0
X:31137410,0,0.00,0
X:31137411,0,0.00,0
X:31137412,0,0.00,0
X:31137413,0,0.00,0
X:31137414,0,0.00,0
X:31137415,0,0.00,0
X:31137416,0,0.00,0
X:31137417,0,0.00,0
X:31137418,0,0.00,0
X:31137419,0,0.00,0
X:31137420,0,0.00,0
X:31137421,0,0.00,0
X:31137422,0,0.00,0
X:31137423,0,0.00,0
X:31137424,0,0.00,0
X:31137425,0,0.00,0
X:31137426,0,0.00,0
X:31137427,0,0.00,0
X:31137428,0,0.00,0
X:31137429,0,0.00,0
X:31137430,0,0.00,0
X:31137431,0,0.00,0
X:31137432,0,0.00,0
X:31137433,0,0.00,0
X:31137434,0,0.00,0
X:31137435,0,0.00,0
X:31137436,0,0.00,0
X:31137437,0,0.00,0
X:31137438,0,0.00,0
X:31137439,0,0.00,0
X:31137440,0,0.00,0
X:31137441,0,0.00,0
X:31137442,0,0.00,0
X:31137443,0,0.00,0
X:31137444,0,0.00,0
X:31137445,0,0.00,0
X:31137446,0,0.00,0
X:31137447,0,0.00,0
X:31137448,0,0.00,0
X:31137449,0,0.00,0
X:31137450,0,0.00,0
X:31137451,0,0.00,0
X:31137452,0,0.00,0
X:31137453,0,0.00,0
X:31137454,0,0.00,0
X:31137455,0,0.00,0
X:31137456,0,0.00,0
X:31137457,0,0.00,0
X:31137458,0,0.00,0
X:31137459,0,0.00,0
X:31137460,0,0.00,0
X:31137461,0,0.00,0
X:31137462,0,0.00,0
X:31137463,0,0.00,0
X:31137464,0,0.00,0
X:31137465,0,0.00,0
X:31137466,0,0.00,0
X:31137467,0,0.00,0
X:31137468,0,0.00,0
X:31137469,0,0.00,0
X:31137470,0,0.00,0
X:31137471,0,0.00,0
X:31137472,0,0.00,0
X:31137473,0,0.00,0
X:31137474,0,0.00,0
X:31137475,0,0.00,0
X:31137476,0,0.00,0
X:31137477,0,0.00,0
X:31137478,0,0.00,0
X:31137479,0,0.00,0
X:31137480,0,0.00,0
X:31137481,0,0.00,0
X:31137482,0,0.00,0
X:31137483,0,0.00,0
X:31137484,0,0.00,0
X:31137485,0,0.00,0
X:31137486,0,0.00,0
X:31137487,0,0.00,0
X:31137488,0,0.00,0
X:31137489,0,0.00,0
X:31137490,0,0.00,0
X:31137491,0,0.00,0
X:31137492,0,0.00,0
X:31137493,0,0.00,0
X:31137494,0,0.00,0
X:31137495,0,0.00,0
X:31137496,0,0.00,0
X:31137497,0,0.00,0
X:31137498,0,0.00,0
X:31137499,0,0.00,0
X:31137500,0,0.00,0
X:31137501,0,0.00,0
X:31137502,0,0.00,0
X:31137503,0,0.00,0
X:31137504,0,0.00,0
X:31137505,0,0.00,0
X:31137506,0,0.00,0
X:31137507,0,0.00,0
X:31137508,0,0.00,0
X:31137509,0,0.00,0
X:31137510,0,0.00,0
X:31137511,0,0.00,0
X:31137512,0,0.00,0
X:31137513,0,0.00,0
X:31137514,0,0.00,0
X:31137515,0,0.00,0
X:31137516,0,0.00,0
X:31137517,0,0.00,0
X:31137518,0,0.00,0
X:31137519,0,0.00,0
X:31137520,0,0.00,0
X:31137521,0,0.00,0
X:31137522,0,0.00,0
X:31137523,0,0.00,0
X:31137524,0,0.00,0
X:31137525,0,0.00,0
X:31137526,0,0.00,0
X:31137527,0,0.00,0
X:31137528,0,0.00,0
X:31137529,0,0.00,0
X:31137530,0,0.00,0
X:31137531,0,0.00,0
X:31137532,0,0.00,0
X:31137533,0,0.00,0
X:31137534,0,0.00,0
X:31137535,0,0.00,0
X:31137536,0,0.00,0
X:31137537,0,0.00,0
X:31137538,0,0.00,0
X:31137539,0,0.00,0
X:31137540,0,0.00,0
X:31137541,0,0.00,0
X:31137542,0,0.00,0
